WorkerId,Input.turn_id,Input.query,Input.passage_id,Input.passage,prolific_text_passage,Answer.taskAnswers,text_spans,prolific_text_spans
worker_476,133_1-1,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,['MARCO_20_570989692-3'],"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.","For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 65, 'endOffset': 132, 'label': 'relevant-text-span'}, {'startOffset': 236, 'endOffset': 254, 'label': 'relevant-text-span'}, {'startOffset': 271, 'endOffset': 300, 'label': 'relevant-text-span'}, {'startOffset': 322, 'endOffset': 367, 'label': 'relevant-text-span'}, {'startOffset': 506, 'endOffset': 544, 'label': 'relevant-text-span'}, {'startOffset': 596, 'endOffset': 606, 'label': 'relevant-text-span'}, {'startOffset': 988, 'endOffset': 1007, 'label': 'relevant-text-span'}, {'startOffset': 1131, 'endOffset': 1160, 'label': 'relevant-text-span'}]}}]","['items that would make bath-time a pampering and relaxing experience', 'tru mlange candle', 'pumice stone and wooden brush', 'bar of exfoliating and softening oatmeal soap', ' body scrub, body wash and body lotion', 'Chocolates', 'tea, coffee or wine', 'Grard Bertrand Cot des Rose']","['items that would make bath-time a pampering and relaxing experience', 'tru mélange candle', 'pumice stone and wooden brush', 'bar of exfoliating and softening oatmeal soap', ' body scrub, body wash and body lotion', 'Chocolates', 'tea, coffee or wine', 'Gérard Bertrand Coté des Rose']"
worker_476,133_1-3,Can I make the beauty products at home?,['MARCO_23_34363864-2'],"If you have never taken the time to consider what your beauty products are made of, I am confident that browsing through the pages at Skin Deep will inspire you to do so. It may also inspire you to begin making your own beauty products at home.  Why should I spend the time making beauty products at home?  1.  Making beauty products at home will provide you with the safest and most personalized products possible.  Only you know exactly what your skin issues are.  Maybe you are dealing with early signs of aging, have dry or sensitive skin.  Natural ingredients are always the better alternative to chemicals.  Making your own beauty products means customized products that meet your personal needs.  2  .  Making beauty products at home is very frugal.  It is estimated that the average American family spends $2,000 annually on hygiene items.  Homemade beauty products require fewer ingredients and tend to last longer than store bought.  3.  Homemade beauty products make great gifts.  Homemade gifts are always more personal and a practical way to live a more sustainable lifestyle!  4.  Homemade beauty products are free of toxins and harmful substances.  According to the EWG, only 11 percent of cosmetic ingredients have been tested for safety by the cosmetic industry.  That is just scary.","If you have never taken the time to consider what your beauty products are made of, I am confident that browsing through the pages at Skin Deep will inspire you to do so. It may also inspire you to begin making your own beauty products at home.  Why should I spend the time making beauty products at home?  1.  Making beauty products at home will provide you with the safest and most personalized products possible.  Only you know exactly what your skin issues are.  Maybe you are dealing with early signs of aging, have dry or sensitive skin.  Natural ingredients are always the better alternative to chemicals.  Making your own beauty products means customized products that meet your personal needs.  2  .  Making beauty products at home is very frugal.  It is estimated that the average American family spends $2,000 annually on hygiene items.  Homemade beauty products require fewer ingredients and tend to last longer than store bought.  3.  Homemade beauty products make great gifts.  Homemade gifts are always more personal and a practical way to live a more sustainable lifestyle!  4.  Homemade beauty products are free of toxins and harmful substances.  According to the EWG, only 11 percent of cosmetic ingredients have been tested for safety by the cosmetic industry.  That is just scary.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 311, 'endOffset': 414, 'label': 'relevant-text-span'}, {'startOffset': 614, 'endOffset': 701, 'label': 'relevant-text-span'}, {'startOffset': 710, 'endOffset': 757, 'label': 'relevant-text-span'}, {'startOffset': 849, 'endOffset': 941, 'label': 'relevant-text-span'}, {'startOffset': 948, 'endOffset': 1088, 'label': 'relevant-text-span'}, {'startOffset': 1095, 'endOffset': 1161, 'label': 'relevant-text-span'}]}}]","['Making beauty products at home will provide you with the safest and most personalized products possible', 'Making your own beauty products means customized products that meet your personal needs', 'Making beauty products at home is very frugal. ', 'Homemade beauty products require fewer ingredients and tend to last longer than store bought', 'Homemade beauty products make great gifts.  Homemade gifts are always more personal and a practical way to live a more sustainable lifestyle', 'Homemade beauty products are free of toxins and harmful substances']","['Making beauty products at home will provide you with the safest and most personalized products possible', 'Making your own beauty products means customized products that meet your personal needs', 'Making beauty products at home is very frugal. ', 'Homemade beauty products require fewer ingredients and tend to last longer than store bought', 'Homemade beauty products make great gifts.  Homemade gifts are always more personal and a practical way to live a more sustainable lifestyle', 'Homemade beauty products are free of toxins and harmful substances']"
worker_476,133_1-5,I’ve never made a beauty product at home before. Can you tell me how to make one?,['MARCO_00_586920406-2'],"To level up, Manuka honey is believed to be even more potent than raw honey. Native to New Zealand, it possesses a compound called methylglyoxal, which lends antimicrobial powers.  A little bit of olive oil adds nourishing moisture and extra antioxidants.  This recipe also includes essential oils to elevate your skincare routine with some aromatherapy; you can skip this if you have sensitive skin.  Ingredients 1/2 cup raw honey or Manuka honey 1/2 cup brown sugar 1 tablespoon olive oil 1 drop lavender, jasmine, rose, or geranium essential oil Instructions In a small bowl, combine all ingredients well.  Take a dime-sized amount.  Starting from the center of your face and working outward, gently massage the scrub into your skin, including your lips, in circular motions for one minute.  Leave it on for five to 10 minutes for a quick mask.  Rinse with warm water and pat skin dry with a towel.  If you have oily skin, you may not need to follow with a moisturizer.  If your skin feels tight and needs extra hydration, apply a moisturizer or facial oil afterward.  Exfoliate once or twice a week.  Store leftover scrub in a jar at room temperature.  Brown Sugar and Coconut Oil Scrub For a perfect body scrub, keep it simple.","To level up, Manuka honey is believed to be even more potent than raw honey. Native to New Zealand, it possesses a compound called methylglyoxal, which lends antimicrobial powers.  A little bit of olive oil adds nourishing moisture and extra antioxidants.  This recipe also includes essential oils to elevate your skincare routine with some aromatherapy; you can skip this if you have sensitive skin.  Ingredients 1/2 cup raw honey or Manuka honey 1/2 cup brown sugar 1 tablespoon olive oil 1 drop lavender, jasmine, rose, or geranium essential oil Instructions In a small bowl, combine all ingredients well.  Take a dime-sized amount.  Starting from the center of your face and working outward, gently massage the scrub into your skin, including your lips, in circular motions for one minute.  Leave it on for five to 10 minutes for a quick mask.  Rinse with warm water and pat skin dry with a towel.  If you have oily skin, you may not need to follow with a moisturizer.  If your skin feels tight and needs extra hydration, apply a moisturizer or facial oil afterward.  Exfoliate once or twice a week.  Store leftover scrub in a jar at room temperature.  Brown Sugar and Coconut Oil Scrub For a perfect body scrub, keep it simple.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 402, 'endOffset': 609, 'label': 'relevant-text-span'}, {'startOffset': 610, 'endOffset': 901, 'label': 'relevant-text-span'}, {'startOffset': 1105, 'endOffset': 1157, 'label': 'relevant-text-span'}]}}]","['Ingredients 1/2 cup raw honey or Manuka honey 1/2 cup brown sugar 1 tablespoon olive oil 1 drop lavender, jasmine, rose, or geranium essential oil Instructions In a small bowl, combine all ingredients well. ', 'Take a dime-sized amount.  Starting from the center of your face and working outward, gently massage the scrub into your skin, including your lips, in circular motions for one minute.  Leave it on for five to 10 minutes for a quick mask.  Rinse with warm water and pat skin dry with a towel.', 'Store leftover scrub in a jar at room temperature.  ']","['Ingredients 1/2 cup raw honey or Manuka honey 1/2 cup brown sugar 1 tablespoon olive oil 1 drop lavender, jasmine, rose, or geranium essential oil Instructions In a small bowl, combine all ingredients well. ', 'Take a dime-sized amount.  Starting from the center of your face and working outward, gently massage the scrub into your skin, including your lips, in circular motions for one minute.  Leave it on for five to 10 minutes for a quick mask.  Rinse with warm water and pat skin dry with a towel.', 'Store leftover scrub in a jar at room temperature.  ']"
worker_476,133_1-7,How much would making my own deodorant cost?,['MARCO_21_1040240025-5'],"Before applying, give it a good shake to evenly disperse the oils, and be sure to let it sink in for a few minutes before getting dressed. Next: Check out this simple body spray that banishes bacne .  Print No ratings yet Essential Oil DIY Deodorant Spray Vodka is the secret ingredient in this natural DIY deodorant spray recipe that's tough on odors but not your skin.  Prep Time 5 mins Total Time 5 mins Course: Bath and Body Cuisine: DIY Keyword: beauty, deodorant, essential oils Yield: 2 ounces Author: Stephanie Gerber Cost: $6 Equipment 2-ounce dark mister bottle Materials 2 tbsp vodka (the higher the proof, the better) 2 tbsp distilled water 2 drops rose absolute essential oil 2 drops jasmine essential oil 2 drops orange essential oil 1 drop lavender essential oil Instructions To make: Combine all of the ingredients in a small, dark-colored bottle.  Shake to combine.  To use: Shake well before each use.  Give each underarm 2–3 spritzes, and let them air dry.  Apply again after exercising or heavy exertion, if desired.  Notes Feel free to use any essential oils you like for this.  While they may not be as fragrant, antibacterial oils—like cinnamon, tea tree, and oregano—will help keep the B.O. at bay.","Before applying, give it a good shake to evenly disperse the oils, and be sure to let it sink in for a few minutes before getting dressed. Next: Check out this simple body spray that banishes bacne .  Print No ratings yet Essential Oil DIY Deodorant Spray Vodka is the secret ingredient in this natural DIY deodorant spray recipe that's tough on odors but not your skin.  Prep Time 5 mins Total Time 5 mins Course: Bath and Body Cuisine: DIY Keyword: beauty, deodorant, essential oils Yield: 2 ounces Author: Stephanie Gerber Cost: $6 Equipment 2-ounce dark mister bottle Materials 2 tbsp vodka (the higher the proof, the better) 2 tbsp distilled water 2 drops rose absolute essential oil 2 drops jasmine essential oil 2 drops orange essential oil 1 drop lavender essential oil Instructions To make: Combine all of the ingredients in a small, dark-colored bottle.  Shake to combine.  To use: Shake well before each use.  Give each underarm 2–3 spritzes, and let them air dry.  Apply again after exercising or heavy exertion, if desired.  Notes Feel free to use any essential oils you like for this.  While they may not be as fragrant, antibacterial oils—like cinnamon, tea tree, and oregano—will help keep the B.O. at bay.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 526, 'endOffset': 535, 'label': 'relevant-text-span'}]}}]",['Cost: $6 '],['Cost: $6 ']
worker_476,133_2-1,Can you tell me how to make a body scrub at home?,['MARCO_20_1380187541-16'],"• Apply to skin in circular motions, then rinse off. DIY Coconut Butter Body Scrub Of course, body exfoliating should make you feel soft.  And with this homemade body scrub, your skin will absorb the butter for a soft skin appearance.  Ingredients: • ½ cup of shea butter or cocoa butter • 3 tablespoons of olive oil • 3 tablespoons of coconut oil • Optional: a couple drops of your favorite essential oil • ½ cup of sugar The Process: • Melt the shea butter or cocoa butter using a double boiler.  • After melting, whip it up with a mixer to become smooth.  You could use a hand blender.  • Add olive oil and coconut oil, slowly mixing into the butter.  • Then, add some essential oils.  • Finally, mix in the brown sugar.  • Wait for some minutes for your skin to absorb the moisturizing properties of the scrub, then rinse off.  DIY Green Tea Salt Scrub The benefits of green tea include its function as anti-inflammatory and anticancer.  When you opt for this option of homemade body scrub, you are not only exfoliating, but also protecting your skin.","• Apply to skin in circular motions, then rinse off. DIY Coconut Butter Body Scrub Of course, body exfoliating should make you feel soft.  And with this homemade body scrub, your skin will absorb the butter for a soft skin appearance.  Ingredients: • ½ cup of shea butter or cocoa butter • 3 tablespoons of olive oil • 3 tablespoons of coconut oil • Optional: a couple drops of your favorite essential oil • ½ cup of sugar The Process: • Melt the shea butter or cocoa butter using a double boiler.  • After melting, whip it up with a mixer to become smooth.  You could use a hand blender.  • Add olive oil and coconut oil, slowly mixing into the butter.  • Then, add some essential oils.  • Finally, mix in the brown sugar.  • Wait for some minutes for your skin to absorb the moisturizing properties of the scrub, then rinse off.  DIY Green Tea Salt Scrub The benefits of green tea include its function as anti-inflammatory and anticancer.  When you opt for this option of homemade body scrub, you are not only exfoliating, but also protecting your skin.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 236, 'endOffset': 725, 'label': 'relevant-text-span'}]}}]","['Ingredients:   cup of shea butter or cocoa butter  3 tablespoons of olive oil  3 tablespoons of coconut oil  Optional: a couple drops of your favorite essential oil   cup of sugar The Process:  Melt the shea butter or cocoa butter using a double boiler.   After melting, whip it up with a mixer to become smooth.  You could use a hand blender.   Add olive oil and coconut oil, slowly mixing into the butter.   Then, add some essential oils.   Finally, mix in the brown sugar.  ']","['Ingredients: • ½ cup of shea butter or cocoa butter • 3 tablespoons of olive oil • 3 tablespoons of coconut oil • Optional: a couple drops of your favorite essential oil • ½ cup of sugar The Process: • Melt the shea butter or cocoa butter using a double boiler.  • After melting, whip it up with a mixer to become smooth.  You could use a hand blender.  • Add olive oil and coconut oil, slowly mixing into the butter.  • Then, add some essential oils.  • Finally, mix in the brown sugar.  ']"
worker_476,133_2-3,Cool. Can you tell me how to make a moisturizer at home?,['MARCO_53_601113959-9'],"Revitalizing Hibiscus Moisturizer For Dry Skin You Will Need 2 tablespoons hibiscus tea 1 cup extra virgin coconut oil Method Grind the hibiscus tea into powder. Melt the coconut oil in a double boiler.  Add the hibiscus tea powder to the oil and cover it for a while.  Use a cheesecloth to strain the oil and separate the tea from the oil.  Let the oil cool down until it solidifies.  Whip it well in a mixer for about a minute or two.  Transfer the pinkish cream to a glass jar and apply to your skin.  Why This Works In Africa, hibiscus pulp is often used for wound healing and soothing the skin.  It contains anthocyanins and antioxidants that enhance skin health (5).  Coconut oil has a calming and soothing impact on your skin and also keeps it moisturized.  Back To TOC These simple and easy to make DIY moisturizers for dry skin will give your skin a luxurious, moisturized feeling.  They are gentle and will not irritate your skin (unless you are allergic to certain substances).  Try these homemade moisturizers for dry skin and let me know how they worked for you in the comments section below.","Revitalizing Hibiscus Moisturizer For Dry Skin You Will Need 2 tablespoons hibiscus tea 1 cup extra virgin coconut oil Method Grind the hibiscus tea into powder. Melt the coconut oil in a double boiler.  Add the hibiscus tea powder to the oil and cover it for a while.  Use a cheesecloth to strain the oil and separate the tea from the oil.  Let the oil cool down until it solidifies.  Whip it well in a mixer for about a minute or two.  Transfer the pinkish cream to a glass jar and apply to your skin.  Why This Works In Africa, hibiscus pulp is often used for wound healing and soothing the skin.  It contains anthocyanins and antioxidants that enhance skin health (5).  Coconut oil has a calming and soothing impact on your skin and also keeps it moisturized.  Back To TOC These simple and easy to make DIY moisturizers for dry skin will give your skin a luxurious, moisturized feeling.  They are gentle and will not irritate your skin (unless you are allergic to certain substances).  Try these homemade moisturizers for dry skin and let me know how they worked for you in the comments section below.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 47, 'endOffset': 503, 'label': 'relevant-text-span'}]}}]",['You Will Need 2 tablespoons hibiscus tea 1 cup extra virgin coconut oil Method Grind the hibiscus tea into powder. Melt the coconut oil in a double boiler.  Add the hibiscus tea powder to the oil and cover it for a while.  Use a cheesecloth to strain the oil and separate the tea from the oil.  Let the oil cool down until it solidifies.  Whip it well in a mixer for about a minute or two.  Transfer the pinkish cream to a glass jar and apply to your skin.'],['You Will Need 2 tablespoons hibiscus tea 1 cup extra virgin coconut oil Method Grind the hibiscus tea into powder. Melt the coconut oil in a double boiler.  Add the hibiscus tea powder to the oil and cover it for a while.  Use a cheesecloth to strain the oil and separate the tea from the oil.  Let the oil cool down until it solidifies.  Whip it well in a mixer for about a minute or two.  Transfer the pinkish cream to a glass jar and apply to your skin.']
worker_476,133_3-2,"My mum loves a good, scented lotion. Let’s make that",['MARCO_13_320946250-4'],"To make your lotion, you can add Vitamin E Oil for enhanced skin-healing properties, and you may choose to add essential oils if you have some favorites, those these steps are both optional. I personally love the fresh, light smell of pure coconut oil lingering around me throughout the day, so I tend to leave these steps out.  However, if I am making up a batch to give as a gift, I personalize the lotion with a scent like lavender or eucalyptus and package in a beautiful VioLiv Container.  By Kayla- Radiant Life 1 cup virgin coconut oil 1 teaspoon vitamin E oil (optional) a few drops of essential oils for fragrance (optional) 1.  Measure out 1 cup extra virgin coconut oil and add vitamin E and/or essential oils if desired.  2  . Place in KitchenAid mixer (can also use blender on 'whipped' setting) and allow to process for 6-7 minutes on high speed.  3  . Pour into desired container, seal, label and enjoy!  Want to try it out for yourself?  Every month we select one of our readers to receive a free jar of organic coconut oil!","To make your lotion, you can add Vitamin E Oil for enhanced skin-healing properties, and you may choose to add essential oils if you have some favorites, those these steps are both optional. I personally love the fresh, light smell of pure coconut oil lingering around me throughout the day, so I tend to leave these steps out.  However, if I am making up a batch to give as a gift, I personalize the lotion with a scent like lavender or eucalyptus and package in a beautiful VioLiv Container.  By Kayla- Radiant Life 1 cup virgin coconut oil 1 teaspoon vitamin E oil (optional) a few drops of essential oils for fragrance (optional) 1.  Measure out 1 cup extra virgin coconut oil and add vitamin E and/or essential oils if desired.  2  . Place in KitchenAid mixer (can also use blender on 'whipped' setting) and allow to process for 6-7 minutes on high speed.  3  . Pour into desired container, seal, label and enjoy!  Want to try it out for yourself?  Every month we select one of our readers to receive a free jar of organic coconut oil!","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 518, 'endOffset': 919, 'label': 'relevant-text-span'}]}}]","[""1 cup virgin coconut oil 1 teaspoon vitamin E oil (optional) a few drops of essential oils for fragrance (optional) 1.  Measure out 1 cup extra virgin coconut oil and add vitamin E and/or essential oils if desired.  2  . Place in KitchenAid mixer (can also use blender on 'whipped' setting) and allow to process for 6-7 minutes on high speed.  3  . Pour into desired container, seal, label and enjoy! ""]","[""1 cup virgin coconut oil 1 teaspoon vitamin E oil (optional) a few drops of essential oils for fragrance (optional) 1.  Measure out 1 cup extra virgin coconut oil and add vitamin E and/or essential oils if desired.  2  . Place in KitchenAid mixer (can also use blender on 'whipped' setting) and allow to process for 6-7 minutes on high speed.  3  . Pour into desired container, seal, label and enjoy! ""]"
worker_476,133_3-4,I need more information about purchasing an unscented lotion base,['MARCO_26_1452799507-1'],"(1) Lotion Base – Pure Essential Supply, Inc. Lotion Base Lotion Base is what body lotion, creams, hand lotion, body butter & hand cream is made from.  Our wholesale lotion base is a thick paste that contains very little water.  Simply blend in warm water to control the thickness of finished product.  You’ll be able to make hand lotion, creams, body lotion, body butter & hand cream as thick or as thin as you want.  You’ll even be able to make body milks & body mists with this all natural lotion base.  We offer wholesale lotion base & wholesale soap supplies on our web site.  Disclaimer: The pictures shown on each product may not always depict the size, packaging or price listed.*  Filter Filter all natural body butter body lotion body spray cocoa butter Cocoa Lotion concentrated concentrated base Concentrated Lotion Base cream facial cream goat milk goats milk humectant Lotion lotion base lotions multi base natural natural lotion paraban free paraben free preservative rosemary sample pack Sampler Pack Shea Butter Shea Lotion soap additive sodium lactate soy free soyfree standard Standard Lotion thick concentrated vitamin c vitamin E 8 products Sort Sort Featured Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, new to old Date, old to new","(1) Lotion Base – Pure Essential Supply, Inc. Lotion Base Lotion Base is what body lotion, creams, hand lotion, body butter & hand cream is made from.  Our wholesale lotion base is a thick paste that contains very little water.  Simply blend in warm water to control the thickness of finished product.  You’ll be able to make hand lotion, creams, body lotion, body butter & hand cream as thick or as thin as you want.  You’ll even be able to make body milks & body mists with this all natural lotion base.  We offer wholesale lotion base & wholesale soap supplies on our web site.  Disclaimer: The pictures shown on each product may not always depict the size, packaging or price listed.*  Filter Filter all natural body butter body lotion body spray cocoa butter Cocoa Lotion concentrated concentrated base Concentrated Lotion Base cream facial cream goat milk goats milk humectant Lotion lotion base lotions multi base natural natural lotion paraban free paraben free preservative rosemary sample pack Sampler Pack Shea Butter Shea Lotion soap additive sodium lactate soy free soyfree standard Standard Lotion thick concentrated vitamin c vitamin E 8 products Sort Sort Featured Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, new to old Date, old to new","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 507, 'endOffset': 581, 'label': 'relevant-text-span'}]}}]",['We offer wholesale lotion base & wholesale soap supplies on our web site. '],['We offer wholesale lotion base & wholesale soap supplies on our web site. ']
worker_476,133_3-6,What types of essential oils should I consider when making my own scented lotion?,['MARCO_54_1782395814-4'],"Below is a list of the skin types mentioned above and what carrier oils are best for each: Normal skin – jojoba, almond, macadamia nut oil – basically any carrier oil of choice but avoid heavy oils Dry skin – olive, avocado, wheat germ Oily skin – grapeseed, sunflower, apricot kernel Acne-prone skin – hemp, argan, sunflower (these all have a comedogenic rating of zero) Combination skin – jojoba, hemp, coconut Sensitive skin – sunflower, argan, hemp, coconut Mature skin – rosehip, tamanu, jojoba How to Make a Powerful Anti–Aging Essential Oil Blend Okay, let’s get on to the powerful anti-aging essential oil blend! You will need a total of 5 anti-aging essential oils and 1 carrier oil of choice (choose according to your skin type in the section above).  For storage, I recommend using amber glass dropper bottle.  Amber protects the delicate oils in the serum from light damage.  You only need to use a few drops (2-4) on your whole face.","Below is a list of the skin types mentioned above and what carrier oils are best for each: Normal skin – jojoba, almond, macadamia nut oil – basically any carrier oil of choice but avoid heavy oils Dry skin – olive, avocado, wheat germ Oily skin – grapeseed, sunflower, apricot kernel Acne-prone skin – hemp, argan, sunflower (these all have a comedogenic rating of zero) Combination skin – jojoba, hemp, coconut Sensitive skin – sunflower, argan, hemp, coconut Mature skin – rosehip, tamanu, jojoba How to Make a Powerful Anti–Aging Essential Oil Blend Okay, let’s get on to the powerful anti-aging essential oil blend! You will need a total of 5 anti-aging essential oils and 1 carrier oil of choice (choose according to your skin type in the section above).  For storage, I recommend using amber glass dropper bottle.  Amber protects the delicate oils in the serum from light damage.  You only need to use a few drops (2-4) on your whole face.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 91, 'endOffset': 499, 'label': 'relevant-text-span'}]}}]","['Normal skin  jojoba, almond, macadamia nut oil  basically any carrier oil of choice but avoid heavy oils Dry skin  olive, avocado, wheat germ Oily skin  grapeseed, sunflower, apricot kernel Acne-prone skin  hemp, argan, sunflower (these all have a comedogenic rating of zero) Combination skin  jojoba, hemp, coconut Sensitive skin  sunflower, argan, hemp, coconut Mature skin  rosehip, tamanu, jojoba']","['Normal skin – jojoba, almond, macadamia nut oil – basically any carrier oil of choice but avoid heavy oils Dry skin – olive, avocado, wheat germ Oily skin – grapeseed, sunflower, apricot kernel Acne-prone skin – hemp, argan, sunflower (these all have a comedogenic rating of zero) Combination skin – jojoba, hemp, coconut Sensitive skin – sunflower, argan, hemp, coconut Mature skin – rosehip, tamanu, jojoba']"
worker_476,133_3-8,"Okay, so how do I mix the unscented lotion and the essential oils?",['MARCO_12_1183093643-3'],"You can use this spray more liberally than traditional perfume, but overusing it is not recommended because the ingredients may lead to skin irritations, and the scent can be overwhelming to others. Applying Body Spray Apply the spray directly onto your skin after a shower or bath when the skin is warm and the pores are open.  Apply a light layer of lotion, paying special attention to the pulse points on your body.  Then, at a distance of approximately 12 inches, spray a liberal amount of the DIY body spray.  Store the spray out of direct sunlight and in an upright position.  Do not keep it in the bathroom or in a place with a lot of moisture.  Body Lotion Recipe You Will Need: 16 oz of baby lotion 8 oz of vitamin E cream 8 oz of coconut oil (solid form) 80 drops of an essential oil of your choice (optional)  Mixing bowl Spatula Handheld electric mixer Four 8oz screw cap lids and jars (Mason jars are ideal.  Or recycle jars, but make sure they are sterilized.)  Instructions: Add the lotion, vitamin E, and coconut oil into the bowl.  Beat with an electric mixer until the consistency is like icing.  Add the drops of essential oil and mix gently with the spatula as you go.","You can use this spray more liberally than traditional perfume, but overusing it is not recommended because the ingredients may lead to skin irritations, and the scent can be overwhelming to others. Applying Body Spray Apply the spray directly onto your skin after a shower or bath when the skin is warm and the pores are open.  Apply a light layer of lotion, paying special attention to the pulse points on your body.  Then, at a distance of approximately 12 inches, spray a liberal amount of the DIY body spray.  Store the spray out of direct sunlight and in an upright position.  Do not keep it in the bathroom or in a place with a lot of moisture.  Body Lotion Recipe You Will Need: 16 oz of baby lotion 8 oz of vitamin E cream 8 oz of coconut oil (solid form) 80 drops of an essential oil of your choice (optional)  Mixing bowl Spatula Handheld electric mixer Four 8oz screw cap lids and jars (Mason jars are ideal.  Or recycle jars, but make sure they are sterilized.)  Instructions: Add the lotion, vitamin E, and coconut oil into the bowl.  Beat with an electric mixer until the consistency is like icing.  Add the drops of essential oil and mix gently with the spatula as you go.","[{'relevant-text-spans-prolific-annotation': {'entities': [{'startOffset': 1049, 'endOffset': 1188, 'label': 'relevant-text-span'}]}}]",['Beat with an electric mixer until the consistency is like icing.  Add the drops of essential oil and mix gently with the spatula as you go.'],['Beat with an electric mixer until the consistency is like icing.  Add the drops of essential oil and mix gently with the spatula as you go.']
